item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
242,75,364,1,482.0,17.71,396.63
243,76,345,3,518.83,8.81,1419.41
244,76,193,3,57.5,2.89,167.51
245,76,79,1,125.74,11.89,110.78
246,76,43,2,300.9,14.95,511.8
247,76,249,1,374.51,13.35,324.5
248,77,396,2,228.5,17.66,376.31
249,77,74,1,220.2,10.05,198.06
250,77,26,1,42.2,9.98,37.99
251,77,102,2,153.83,13.7,265.52
252,78,265,2,295.45,17.67,486.47
253,78,453,1,53.91,10.42,48.29
254,78,242,1,471.0,14.41,403.14
255,79,85,1,269.13,8.43,246.43
256,79,79,1,125.74,6.25,117.88
257,80,104,1,190.73,15.12,161.89
258,80,324,2,270.74,0.0,541.47
259,81,169,3,46.54,8.19,128.19
260,81,256,3,30.37,13.43,78.87
261,81,335,2,421.41,6.55,787.62
262,81,249,1,374.51,18.97,303.46
263,81,107,3,191.07,18.81,465.39
264,82,221,3,222.61,9.18,606.5
265,82,45,2,35.26,7.29,65.38
266,82,23,3,240.53,2.16,705.99
267,82,484,1,226.17,8.68,206.53
268,83,212,1,421.69,13.7,363.93
269,84,394,2,49.85,8.32,91.4
270,84,258,3,31.24,10.91,83.5
271,84,80,2,340.54,19.65,547.23
272,84,54,3,395.36,13.4,1027.18
273,84,455,3,425.49,16.12,1070.73
274,85,461,1,214.95,18.55,175.09
275,86,56,2,253.37,3.85,487.21
276,86,360,2,314.52,8.92,572.94
277,86,155,2,40.51,8.68,73.99
278,86,412,3,166.63,14.01,429.84
279,86,118,3,204.32,1.87,601.51
280,87,67,1,212.48,12.22,186.52
281,87,145,3,217.67,4.07,626.43
282,87,352,1,434.0,10.91,386.67
283,87,184,2,366.64,8.74,669.22
284,87,22,2,214.15,4.45,409.26
285,88,245,1,141.94,17.51,117.09
286,88,297,1,372.41,6.18,349.38
287,88,419,2,156.72,4.71,298.69
288,88,281,3,219.98,17.71,543.09
289,88,479,2,20.19,18.7,32.83
290,89,274,3,29.33,19.56,70.78
291,89,207,2,293.47,19.41,473.04
292,89,414,2,181.58,16.3,303.95
293,90,52,2,546.98,18.43,892.29
294,90,378,3,385.86,8.26,1061.93
295,90,231,3,156.81,9.09,427.67
296,91,485,3,36.17,0.08,108.42
297,91,345,2,518.83,0.02,1037.45
298,92,175,1,145.45,16.66,121.22
299,92,95,2,162.7,19.98,260.39
300,92,247,2,161.11,6.23,302.16
301,92,222,1,218.87,15.81,184.28
302,93,257,1,345.25,14.81,294.13
303,94,224,2,95.74,18.27,156.5
304,94,7,2,257.21,2.27,502.76
305,94,91,1,291.94,17.07,242.11
306,94,299,3,266.21,6.86,743.84
307,95,301,1,158.95,0.37,158.36
308,96,54,2,395.36,7.12,734.4
309,96,143,2,253.4,17.06,420.34
310,96,200,2,216.03,5.22,409.53
311,96,435,2,56.18,5.57,106.1
312,96,248,1,483.86,15.74,407.69
313,97,94,1,83.89,12.92,73.05
314,97,68,2,230.56,11.31,408.99
315,97,162,2,430.25,5.65,811.92
316,98,152,1,82.42,12.86,71.82
317,98,365,1,236.84,8.29,217.21
318,98,75,2,144.65,0.28,288.48
319,98,206,3,213.18,15.72,539.03
320,99,363,3,60.12,0.61,179.26
321,99,210,3,134.97,9.4,366.85
322,99,212,3,421.69,11.45,1120.25
323,100,285,1,93.08,12.54,81.41
324,100,77,3,246.57,9.55,669.1
325,100,485,3,36.17,17.89,89.1
326,101,16,1,110.97,7.22,102.96
327,101,139,3,147.83,7.39,410.73
328,102,258,3,31.24,6.93,87.23
329,102,401,1,94.26,16.5,78.71
330,102,280,1,363.1,18.34,296.5
331,102,28,3,48.74,12.55,127.88
332,102,70,1,107.62,5.17,102.06
333,103,380,1,22.85,14.58,19.52
334,103,1,3,216.07,12.81,565.17
335,103,15,1,190.07,8.09,174.69
336,103,409,1,382.07,8.9,348.06
337,104,301,3,158.95,14.39,408.25
338,104,117,1,288.29,1.57,283.76
339,105,120,1,417.34,1.22,412.25
340,106,270,1,449.34,19.04,363.78
341,106,299,3,266.21,5.58,754.1
342,107,99,1,144.6,18.99,117.14
343,108,264,3,422.21,6.0,1190.64
344,108,159,3,37.97,2.15,111.47
345,108,31,2,139.09,12.29,244.0
346,108,128,3,247.81,9.76,670.84
347,109,155,3,40.51,7.55,112.36
348,110,440,2,298.71,0.47,594.61
349,110,386,2,141.6,14.12,243.22
350,110,247,1,161.11,15.62,135.94
351,110,397,3,456.54,9.79,1235.49
352,111,483,3,496.39,12.84,1298.03
353,111,394,2,49.85,12.69,87.05
354,111,313,2,255.55,0.4,509.07
355,112,269,2,417.47,2.18,816.73
356,112,379,1,82.49,1.25,81.46
357,112,243,1,44.7,17.4,36.92
358,113,115,2,282.09,8.25,517.63
359,113,280,3,363.1,3.09,1055.63
360,113,7,3,257.21,16.56,643.88
361,113,278,1,306.96,9.51,277.76
362,114,288,3,100.28,11.59,265.96
363,114,77,3,246.57,2.36,722.24
364,114,352,3,434.0,6.31,1219.88
365,114,29,2,40.82,7.78,75.29
366,115,175,1,145.45,9.99,130.92
367,116,99,3,144.6,3.35,419.27
368,116,382,1,189.42,19.96,151.61
369,116,131,1,436.21,17.67,359.13
370,116,215,1,284.51,17.28,235.35
371,116,151,1,317.21,11.81,279.76
372,117,487,2,155.47,15.06,264.11
373,117,56,3,253.37,13.8,655.19
374,117,449,3,138.08,10.85,369.3
375,117,2,2,331.37,9.25,601.43
376,118,327,3,48.53,19.07,117.83
377,118,302,3,33.87,16.54,84.8
378,118,297,2,372.41,10.54,666.33
379,119,332,3,233.42,1.09,692.65
380,119,330,2,45.09,5.71,85.03
381,119,80,2,340.54,5.69,642.35
382,120,356,1,73.69,4.86,70.11
383,120,316,2,219.48,17.0,364.36
384,120,127,3,22.76,14.99,58.05
385,120,142,2,280.07,14.41,479.44
386,121,379,1,82.49,11.3,73.17
387,121,489,1,381.69,5.77,359.67
388,121,37,1,165.58,1.07,163.8
389,121,354,2,144.93,0.42,288.64
390,122,266,3,103.36,7.56,286.64
391,122,142,2,280.07,14.56,478.6
392,122,441,3,294.48,1.08,873.92
393,123,126,3,237.32,1.39,702.07
394,124,254,3,225.94,14.5,579.51
395,124,355,1,90.98,11.12,80.86
396,125,258,3,31.24,12.76,81.76
397,125,409,1,382.07,3.8,367.56
398,125,460,2,280.11,13.23,486.09
399,125,252,1,289.54,13.74,249.75
400,126,119,3,291.81,6.57,817.95
401,126,194,2,335.42,3.0,650.69
402,126,169,1,46.54,19.92,37.27
403,126,158,1,253.43,18.25,207.18
404,127,395,3,107.9,8.06,297.6
405,127,100,1,18.04,17.5,14.88
406,127,258,1,31.24,0.69,31.02
407,127,449,2,138.08,17.57,227.64
408,128,95,1,162.7,10.86,145.03
409,128,378,1,385.86,14.34,330.52
410,129,71,3,339.13,2.53,991.7
411,129,218,1,52.22,14.04,44.89
412,129,212,2,421.69,17.4,696.67
413,129,451,1,46.98,6.36,43.99
414,129,291,1,340.79,13.64,294.29
415,130,237,2,77.64,17.68,127.82
416,130,334,3,48.23,10.16,129.99
417,130,451,3,46.98,1.34,139.05
418,130,318,3,228.22,8.64,625.52
419,131,197,2,107.66,16.38,180.06
420,131,320,3,350.79,14.83,896.26
421,131,358,2,203.4,16.88,338.14
422,132,449,1,138.08,3.82,132.81
423,132,279,3,83.56,12.88,218.4
424,132,211,3,42.6,9.82,115.25
425,133,226,2,239.04,1.97,468.66
426,133,403,1,170.7,3.13,165.36
427,134,316,3,219.48,6.08,618.38
428,135,342,1,528.57,0.02,528.48
429,136,288,1,100.28,17.56,82.67
430,136,435,1,56.18,9.19,51.02
431,137,492,3,223.89,7.92,618.44
432,137,488,2,275.19,6.49,514.65
433,137,193,3,57.5,6.36,161.53
434,138,299,1,266.21,7.81,245.43
435,138,169,1,46.54,3.26,45.02
436,139,21,3,100.3,10.45,269.44
437,140,344,3,305.39,10.48,820.18
438,140,322,1,30.69,18.26,25.09
439,140,381,1,147.09,0.13,146.91
440,140,474,2,78.66,18.64,128.0
441,141,385,1,431.76,11.88,380.46
442,141,477,2,256.1,7.89,471.8
443,141,257,1,345.25,4.61,329.34
444,142,448,3,168.88,6.52,473.62
445,142,37,3,165.58,0.07,496.4
446,143,278,3,306.96,16.06,773.02
447,143,42,1,339.55,18.11,278.05
448,143,18,1,540.65,6.04,507.98
449,143,331,2,143.75,0.41,286.31
450,143,7,2,257.21,17.13,426.32
451,144,398,2,109.42,18.05,179.34
452,144,5,1,85.46,18.03,70.05
453,144,474,2,78.66,14.31,134.81
454,144,432,2,467.13,16.54,779.73
455,144,71,3,339.13,6.08,955.57
456,145,419,2,156.72,5.96,294.77
457,145,405,2,378.27,0.71,751.16
458,145,446,2,300.08,18.58,488.63
459,145,195,1,102.17,2.79,99.32
460,145,227,1,123.54,6.67,115.3
461,146,435,1,56.18,19.22,45.38
462,146,33,3,520.85,2.89,1517.34
463,147,346,1,414.09,4.74,394.45
464,147,253,3,200.27,11.32,532.77
465,147,101,1,106.68,13.09,92.72
466,147,222,3,218.87,11.86,578.71
467,148,119,1,291.81,9.68,263.58
468,148,151,2,317.21,13.15,551.01
469,148,239,3,347.15,15.61,878.91
470,148,487,3,155.47,0.77,462.84
471,149,460,3,280.11,13.82,724.18
472,149,42,2,339.55,8.89,618.73
473,149,152,1,82.42,9.61,74.5
474,150,335,2,421.41,13.05,732.87
475,150,342,2,528.57,1.41,1042.23
476,151,235,1,302.26,5.43,285.86
477,152,417,2,247.73,4.92,471.09
478,152,358,3,203.4,19.36,492.04
479,152,372,1,52.69,6.91,49.05
480,153,443,3,381.42,6.43,1070.7
481,153,409,3,382.07,0.63,1139.0
482,153,218,1,52.22,2.9,50.71
483,153,50,2,21.72,14.15,37.29
484,153,230,3,122.72,8.14,338.18
485,154,84,1,549.87,13.67,474.7
486,155,335,1,421.41,9.42,381.69
487,156,185,1,139.72,18.95,113.25
488,156,267,2,193.12,13.94,332.42
489,156,42,1,339.55,16.17,284.64
490,157,462,1,180.45,9.74,162.88
491,158,485,1,36.17,18.25,29.57
492,158,420,1,104.63,10.29,93.86
493,158,310,2,365.27,4.03,701.1
494,158,112,3,530.19,1.53,1566.23
495,159,454,3,368.84,8.89,1008.12
496,159,420,1,104.63,7.11,97.19
497,159,306,1,121.35,6.89,112.99
498,159,466,3,78.67,4.04,226.47
499,159,255,3,327.41,3.22,950.62
500,160,307,3,208.68,17.36,517.37
501,160,160,2,266.84,12.29,468.08
502,161,303,3,223.01,8.25,613.85
503,162,455,2,425.49,3.2,823.72
504,162,69,2,241.47,9.96,434.82
505,162,64,1,204.72,11.02,182.15
506,163,172,2,248.16,11.12,441.12
507,163,486,2,303.11,4.44,579.3
508,163,479,2,20.19,1.71,39.69
509,163,373,2,65.56,11.68,115.81
510,163,285,2,93.08,7.44,172.31
511,164,467,1,410.97,3.52,396.51
512,164,324,3,270.74,16.39,679.06
513,164,83,3,426.99,13.67,1105.88
514,165,346,2,414.09,14.26,710.12
515,166,124,2,120.2,7.39,222.63
516,166,309,3,155.18,4.41,445.02
517,167,427,1,179.43,15.24,152.09
518,167,186,2,133.29,14.68,227.46
519,167,135,1,123.37,7.13,114.57
520,167,298,1,31.56,10.88,28.13
521,167,444,1,154.23,12.6,134.79
522,168,386,1,141.6,1.15,139.98
523,168,6,3,36.55,5.71,103.39
524,168,49,3,404.87,0.77,1205.24
525,168,326,2,181.94,3.35,351.68
526,168,459,2,250.25,9.47,453.13
527,169,408,3,139.57,15.42,354.14
528,170,176,2,368.89,5.08,700.31
529,170,360,1,314.52,14.08,270.24
530,170,336,1,254.97,4.71,242.96
531,171,3,3,85.06,13.05,221.87
532,171,40,1,63.04,10.66,56.32
533,172,452,1,236.29,19.58,190.02
534,173,221,2,222.61,14.33,381.41
535,173,430,2,252.94,4.53,482.98
536,173,438,1,375.5,19.0,304.15
537,174,313,3,255.55,9.12,696.72
538,175,255,1,327.41,4.0,314.3
539,175,278,3,306.96,18.34,751.99
540,176,18,3,540.65,3.03,1572.87
541,176,432,3,467.13,12.57,1225.21
542,176,221,3,222.61,14.61,570.24
543,177,443,3,381.42,14.32,980.44
544,177,314,2,285.16,0.59,566.94
545,178,14,2,151.98,13.56,262.75
546,178,323,3,467.27,18.4,1143.83
547,178,379,2,82.49,12.36,144.59
548,178,63,1,294.04,17.49,242.62
549,178,206,3,213.18,12.07,562.37
550,179,154,1,324.69,13.27,281.59
551,179,76,2,287.92,3.99,552.84
552,179,3,1,85.06,13.64,73.45
553,179,332,1,233.42,15.45,197.36
554,180,340,1,185.82,16.38,155.39
555,180,471,2,34.52,17.03,57.28
556,180,289,3,57.52,11.35,152.97
557,181,64,3,204.72,19.86,492.22
558,181,234,1,68.94,7.6,63.7
559,181,124,1,120.2,8.16,110.39
560,182,97,1,432.8,16.0,363.56
561,182,458,3,200.78,2.78,585.62
562,182,405,2,378.27,14.3,648.35
563,182,1,1,216.07,9.83,194.84
564,182,225,2,209.24,10.46,374.72
565,183,484,2,226.17,1.12,447.27
566,183,138,2,215.09,7.25,399.0
567,184,238,1,98.31,0.81,97.51
568,185,7,3,257.21,16.17,646.85
569,185,160,1,266.84,0.95,264.31
570,186,308,1,232.29,9.51,210.21
571,186,174,1,24.15,14.74,20.59
572,187,312,3,229.06,4.26,657.91
573,188,342,1,528.57,6.75,492.91
574,188,291,2,340.79,3.13,660.26
575,188,128,2,247.81,12.92,431.59
576,189,303,2,223.01,15.21,378.17
577,190,206,2,213.18,12.69,372.27
578,190,340,2,185.82,8.52,339.97
579,191,258,2,31.24,14.12,53.66
580,192,274,2,29.33,17.73,48.26
581,192,159,1,37.97,12.95,33.05
582,192,427,2,179.43,3.05,347.91
583,192,223,3,389.35,14.15,1002.77
584,193,64,1,204.72,8.93,186.43
585,193,337,1,292.94,10.24,262.93
586,193,308,2,232.29,5.69,438.14
587,193,166,2,352.58,11.04,627.31
588,194,433,3,196.2,5.04,558.93
589,195,489,1,381.69,16.91,317.14
590,195,373,2,65.56,13.2,113.82
591,196,441,2,294.48,8.58,538.42
592,196,91,3,291.94,15.72,738.13
593,196,470,1,321.31,13.72,277.22
594,196,415,1,360.71,1.58,355.02
595,197,143,1,253.4,3.4,244.78
596,197,454,2,368.84,7.52,682.23
597,197,393,1,474.64,2.97,460.57
598,198,382,2,189.42,11.4,335.64
599,198,344,3,305.39,2.69,891.53
600,199,241,3,161.49,15.19,410.88
601,199,366,3,336.84,12.44,884.78
602,200,18,2,540.65,13.27,937.8
603,200,70,2,107.62,5.36,203.7
604,200,96,3,41.44,10.66,111.06
605,200,454,1,368.84,18.94,299.0
606,201,437,2,219.17,6.33,410.6
607,201,381,3,147.09,14.25,378.37
608,202,10,1,358.77,14.66,306.16
609,202,368,1,279.94,12.96,243.65
610,202,254,1,225.94,17.1,187.31
611,203,325,3,65.85,14.14,169.62
612,203,180,3,408.03,15.44,1035.12
613,203,241,2,161.49,7.61,298.4
614,203,476,1,56.43,6.25,52.9
615,204,204,3,62.98,7.24,175.25
616,205,348,3,177.57,6.27,499.34
617,206,51,3,180.9,16.49,453.21
618,206,441,1,294.48,6.46,275.46
619,207,482,2,55.3,1.19,109.29
620,208,1,3,216.07,16.93,538.47
621,209,498,1,288.15,14.66,245.91
622,210,157,2,229.97,11.02,409.28
623,210,465,2,40.96,11.28,72.68
624,211,120,1,417.34,2.11,408.55
625,211,171,1,259.2,7.81,238.95
626,212,448,2,168.88,12.74,294.73
627,213,67,1,212.48,5.31,201.2
628,213,45,2,35.26,1.19,69.68
629,213,474,3,78.66,11.86,207.99
630,213,119,1,291.81,12.47,255.43
631,213,124,3,120.2,13.72,311.14
632,214,412,1,166.63,13.37,144.36
633,214,45,2,35.26,12.92,61.41
634,214,13,3,119.12,7.39,330.95
635,214,37,2,165.58,14.14,284.32
636,215,324,1,270.74,9.78,244.26
637,215,392,3,405.44,6.4,1138.49
638,215,434,1,85.9,10.55,76.84
639,216,393,1,474.64,12.67,414.52
640,216,133,3,171.01,1.18,506.96
641,216,499,2,312.87,3.37,604.67
642,217,95,2,162.7,8.9,296.42
643,217,492,3,223.89,2.18,657.01
644,217,378,3,385.86,6.36,1083.91
645,218,35,1,340.33,6.17,319.32
646,218,495,3,118.73,18.77,289.32
647,218,374,1,343.35,1.24,339.1
648,218,133,3,171.01,15.12,435.48
649,218,272,1,101.07,8.18,92.81
650,219,195,2,102.17,4.5,195.15
651,220,49,3,404.87,1.61,1195.11
652,221,451,3,46.98,6.43,131.88
653,221,261,2,270.47,0.73,536.97
654,221,488,1,275.19,16.56,229.61
655,222,71,2,339.13,11.24,602.05
656,222,358,1,203.4,3.11,197.07
657,223,347,3,153.56,6.53,430.61
658,223,308,3,232.29,14.78,593.87
659,223,486,2,303.11,19.49,488.07
660,223,31,1,139.09,19.66,111.75
661,223,333,2,50.7,5.29,96.03
662,224,185,2,139.72,9.47,252.97
663,224,355,2,90.98,4.01,174.67
664,224,21,3,100.3,10.85,268.25
665,224,442,1,248.62,18.35,202.99
666,224,273,1,253.83,15.35,214.86
667,225,257,3,345.25,11.41,917.62
668,225,77,1,246.57,0.48,245.38
669,225,214,2,94.45,4.27,180.83
670,225,49,3,404.87,1.17,1200.43
671,225,417,1,247.73,10.93,220.64
672,226,158,2,253.43,9.5,458.72
673,226,165,3,327.71,5.65,927.63
674,227,328,1,332.85,17.27,275.37
675,227,232,1,333.59,17.4,275.54
676,227,83,3,426.99,8.21,1175.82
677,228,30,3,496.32,19.31,1201.42
678,229,69,3,241.47,9.21,657.66
679,229,336,3,254.97,10.32,685.94
680,230,117,2,288.29,16.88,479.27
681,230,452,1,236.29,16.28,197.83
682,230,316,3,219.48,2.95,638.99
683,230,351,1,281.76,19.88,225.74
684,230,61,3,386.84,6.13,1089.38
685,231,213,1,198.84,19.64,159.79
686,231,418,3,245.45,0.9,729.75
687,231,163,1,160.25,16.55,133.73
688,232,412,1,166.63,0.09,166.47
689,232,383,2,404.46,8.0,744.23
690,232,177,2,324.63,13.52,561.48
691,232,389,2,312.81,0.89,620.03
692,233,474,2,78.66,12.15,138.21
693,233,483,3,496.39,15.76,1254.41
694,233,76,1,287.92,13.48,249.12
