order_id,customer_id,order_date,order_status,shipping_method,payment_method,subtotal,tax_amount,shipping_cost,discount_amount,total_amount,shipping_address,order_priority
35,280,2025-03-11,Shipped,Economy,PayPal,248.96,19.92,23.98,3.03,289.82,"Address 35, City, Country",Medium
36,774,2025-02-04,Completed,Express,Bank Transfer,781.92,62.55,21.43,109.27,756.62,"Address 36, City, Country",Medium
37,385,2024-09-08,Completed,Standard,Credit Card,808.03,64.64,16.38,144.35,744.71,"Address 37, City, Country",Medium
38,281,2025-03-28,Processing,Economy,Bank Transfer,704.87,56.39,6.39,121.22,646.44,"Address 38, City, Country",Medium
39,1623,2025-01-10,Processing,Express,Credit Card,256.38,20.51,6.3,40.01,243.19,"Address 39, City, Country",Low
40,919,2025-05-15,Completed,Economy,PayPal,719.59,57.57,8.11,93.52,691.75,"Address 40, City, Country",Medium
41,84,2025-04-15,Completed,Economy,Credit Card,188.58,15.09,8.7,7.71,204.66,"Address 41, City, Country",Low
42,936,2025-05-17,Completed,Overnight,Digital Wallet,548.96,43.92,19.48,2.16,610.19,"Address 42, City, Country",Medium
43,1440,2025-04-21,Completed,Economy,Bank Transfer,125.84,10.07,7.97,0.56,143.32,"Address 43, City, Country",Urgent
44,1016,2025-02-28,Completed,Express,Bank Transfer,167.12,13.37,21.92,10.84,191.57,"Address 44, City, Country",Medium
45,1818,2024-07-05,Returned,Overnight,PayPal,158.41,12.67,9.81,9.72,171.18,"Address 45, City, Country",Urgent
46,634,2025-03-24,Returned,Overnight,Bank Transfer,517.64,41.41,22.97,19.72,562.31,"Address 46, City, Country",Medium
47,1237,2024-11-18,Completed,Economy,Digital Wallet,92.66,7.41,8.01,7.85,100.23,"Address 47, City, Country",Low
48,1438,2025-04-24,Shipped,Overnight,Credit Card,802.86,64.23,6.84,8.93,865.0,"Address 48, City, Country",Medium
49,1459,2024-12-12,Processing,Economy,Digital Wallet,882.61,70.61,21.86,168.06,807.02,"Address 49, City, Country",High
50,785,2024-08-28,Processing,Standard,Bank Transfer,214.46,17.16,10.16,32.46,209.32,"Address 50, City, Country",Urgent
51,638,2025-03-30,Completed,Standard,PayPal,61.79,4.94,8.45,10.14,65.04,"Address 51, City, Country",Medium
52,771,2025-05-28,Completed,Overnight,PayPal,83.85,6.71,23.71,9.83,104.44,"Address 52, City, Country",High
53,1893,2025-06-23,Processing,Economy,Digital Wallet,924.36,73.95,10.76,136.0,873.07,"Address 53, City, Country",Medium
54,1941,2024-10-25,Cancelled,Standard,Digital Wallet,649.22,51.94,15.08,68.39,647.85,"Address 54, City, Country",Medium
55,668,2025-04-27,Completed,Economy,PayPal,663.52,53.08,11.07,119.26,608.41,"Address 55, City, Country",Low
56,911,2025-01-14,Completed,Economy,Bank Transfer,88.48,7.08,17.25,14.26,98.54,"Address 56, City, Country",Medium
57,1924,2025-06-05,Processing,Express,Credit Card,263.52,21.08,17.26,33.11,268.75,"Address 57, City, Country",Urgent
58,1990,2025-02-16,Completed,Express,Credit Card,579.12,46.33,7.67,33.29,599.82,"Address 58, City, Country",Low
59,299,2024-07-05,Completed,Economy,PayPal,721.57,57.73,5.8,78.88,706.21,"Address 59, City, Country",High
60,209,2024-12-12,Completed,Overnight,Bank Transfer,380.08,30.41,17.57,3.26,424.8,"Address 60, City, Country",Low
61,611,2025-02-01,Shipped,Express,Credit Card,813.57,65.09,22.73,40.46,860.92,"Address 61, City, Country",Low
62,1183,2024-08-15,Returned,Economy,Credit Card,899.35,71.95,14.93,97.9,888.34,"Address 62, City, Country",Low
63,1657,2024-12-18,Completed,Standard,Credit Card,212.51,17.0,22.21,22.61,229.1,"Address 63, City, Country",Medium
64,1850,2025-04-13,Completed,Standard,PayPal,781.53,62.52,24.38,120.89,747.54,"Address 64, City, Country",Urgent
65,189,2024-12-03,Completed,Express,Credit Card,859.29,68.74,17.52,158.51,787.04,"Address 65, City, Country",Medium
66,1612,2024-11-12,Completed,Express,Bank Transfer,566.77,45.34,15.3,78.39,549.03,"Address 66, City, Country",Low
67,1292,2024-12-28,Completed,Economy,Bank Transfer,252.21,20.18,6.61,28.34,250.66,"Address 67, City, Country",Low
68,499,2025-03-19,Completed,Standard,PayPal,916.21,73.3,19.35,19.29,989.56,"Address 68, City, Country",Low
69,386,2024-07-11,Completed,Express,Bank Transfer,258.09,20.65,6.44,36.94,248.23,"Address 69, City, Country",Medium
70,1000,2024-09-03,Completed,Standard,Bank Transfer,764.07,61.13,20.03,50.54,794.7,"Address 70, City, Country",Low
71,101,2024-11-01,Cancelled,Overnight,Bank Transfer,494.99,39.6,22.71,35.8,521.5,"Address 71, City, Country",High
72,1182,2025-06-23,Shipped,Economy,Credit Card,221.28,17.7,6.26,16.74,228.5,"Address 72, City, Country",Low
73,304,2024-10-16,Completed,Economy,PayPal,941.42,75.31,5.25,136.96,885.02,"Address 73, City, Country",Medium
74,513,2025-04-18,Shipped,Overnight,Credit Card,380.35,30.43,13.0,27.45,396.33,"Address 74, City, Country",Medium
75,779,2024-10-04,Completed,Express,Credit Card,106.98,8.56,14.76,16.56,113.74,"Address 75, City, Country",Low
76,270,2025-05-28,Completed,Express,Digital Wallet,368.11,29.45,23.39,48.13,372.83,"Address 76, City, Country",High
77,1915,2024-09-17,Completed,Economy,Bank Transfer,385.96,30.88,15.5,46.29,386.04,"Address 77, City, Country",Low
78,804,2025-07-03,Completed,Economy,PayPal,969.94,77.6,18.12,190.82,874.84,"Address 78, City, Country",Medium
79,26,2024-10-15,Processing,Express,Credit Card,431.63,34.53,14.17,73.26,407.07,"Address 79, City, Country",Low
80,972,2024-11-20,Completed,Standard,PayPal,380.38,30.43,18.6,20.01,409.39,"Address 80, City, Country",Medium
81,1402,2025-03-14,Completed,Economy,Bank Transfer,555.73,44.46,22.05,38.02,584.22,"Address 81, City, Country",Medium
82,1485,2024-10-03,Completed,Express,Digital Wallet,507.85,40.63,5.85,46.98,507.34,"Address 82, City, Country",Low
83,574,2024-11-22,Shipped,Overnight,Credit Card,451.91,36.15,22.19,12.17,498.07,"Address 83, City, Country",High
84,1253,2025-04-03,Completed,Standard,Credit Card,693.18,55.45,18.16,29.55,737.24,"Address 84, City, Country",Low
85,1947,2024-07-09,Completed,Overnight,Bank Transfer,198.13,15.85,10.07,3.53,220.52,"Address 85, City, Country",High
86,1232,2025-05-17,Completed,Express,PayPal,222.5,17.8,24.28,25.76,238.82,"Address 86, City, Country",Medium
87,1419,2024-10-09,Completed,Economy,Credit Card,712.91,57.03,15.72,126.22,659.45,"Address 87, City, Country",Medium
88,473,2024-12-26,Completed,Overnight,Credit Card,347.34,27.79,16.75,47.19,344.69,"Address 88, City, Country",Low
89,1371,2024-12-26,Completed,Express,Digital Wallet,841.53,67.32,5.9,109.95,804.81,"Address 89, City, Country",Medium
90,1261,2024-07-25,Completed,Express,PayPal,709.32,56.75,17.05,26.18,756.94,"Address 90, City, Country",Medium
91,68,2025-02-12,Completed,Express,PayPal,764.24,61.14,5.35,40.97,789.77,"Address 91, City, Country",Urgent
92,1884,2025-06-27,Completed,Overnight,Credit Card,634.16,50.73,21.45,69.29,637.06,"Address 92, City, Country",Low
93,1724,2024-09-11,Completed,Overnight,Digital Wallet,736.98,58.96,5.58,3.4,798.12,"Address 93, City, Country",Medium
94,127,2025-02-17,Completed,Express,Digital Wallet,799.55,63.96,11.6,85.65,789.47,"Address 94, City, Country",Low
95,1897,2024-08-02,Shipped,Economy,Digital Wallet,922.39,73.79,22.17,36.72,981.63,"Address 95, City, Country",Medium
96,1234,2024-11-07,Processing,Economy,Credit Card,212.22,16.98,5.73,7.88,227.05,"Address 96, City, Country",High
97,183,2024-12-13,Processing,Overnight,Bank Transfer,71.14,5.69,19.33,1.57,94.59,"Address 97, City, Country",Low
98,148,2024-08-22,Completed,Express,Bank Transfer,691.85,55.35,20.74,132.54,635.39,"Address 98, City, Country",High
99,20,2025-02-21,Completed,Economy,Digital Wallet,337.38,26.99,7.64,25.84,346.16,"Address 99, City, Country",Urgent
100,807,2025-04-21,Completed,Standard,PayPal,605.13,48.41,12.39,42.66,623.27,"Address 100, City, Country",Low
101,1608,2024-12-13,Completed,Overnight,Digital Wallet,305.46,24.44,6.12,24.97,311.05,"Address 101, City, Country",Low
102,497,2025-01-23,Returned,Economy,Bank Transfer,988.68,79.09,13.77,13.1,1068.44,"Address 102, City, Country",Low
103,1476,2025-06-05,Cancelled,Standard,Digital Wallet,140.9,11.27,12.09,7.08,157.19,"Address 103, City, Country",Medium
104,1082,2024-11-12,Completed,Standard,Credit Card,152.62,12.21,15.7,16.96,163.58,"Address 104, City, Country",Medium
105,119,2024-12-31,Shipped,Express,PayPal,564.36,45.15,5.37,7.0,607.89,"Address 105, City, Country",Low
106,370,2025-01-08,Completed,Overnight,Digital Wallet,370.54,29.64,18.12,68.57,349.74,"Address 106, City, Country",High
107,1285,2025-02-28,Completed,Express,Digital Wallet,573.4,45.87,7.11,113.69,512.69,"Address 107, City, Country",Medium
108,572,2024-08-12,Completed,Standard,Bank Transfer,183.78,14.7,21.54,27.99,192.03,"Address 108, City, Country",Medium
109,258,2025-02-28,Completed,Standard,PayPal,66.52,5.32,13.1,12.32,72.62,"Address 109, City, Country",Urgent
110,1305,2024-12-22,Completed,Overnight,Digital Wallet,111.99,8.96,22.19,19.45,123.69,"Address 110, City, Country",High
111,1896,2025-05-19,Cancelled,Standard,PayPal,838.43,67.07,18.18,123.42,800.27,"Address 111, City, Country",Urgent
112,717,2025-01-20,Processing,Express,Credit Card,885.59,70.85,16.6,78.75,894.29,"Address 112, City, Country",Medium
113,618,2025-05-03,Processing,Economy,Bank Transfer,560.16,44.81,11.18,50.92,565.23,"Address 113, City, Country",Low
114,546,2025-06-13,Processing,Standard,Credit Card,325.44,26.04,8.73,26.45,333.76,"Address 114, City, Country",High
115,1519,2024-08-23,Completed,Standard,Digital Wallet,183.58,14.69,6.42,20.48,184.21,"Address 115, City, Country",Medium
116,1611,2025-06-18,Completed,Economy,Digital Wallet,692.0,55.36,6.96,17.61,736.7,"Address 116, City, Country",Low
117,1480,2024-09-07,Completed,Economy,Credit Card,474.39,37.95,12.25,1.61,522.98,"Address 117, City, Country",Low
118,1874,2025-06-18,Completed,Economy,PayPal,804.57,64.37,21.47,34.03,856.38,"Address 118, City, Country",High
119,1358,2025-04-22,Shipped,Overnight,Digital Wallet,813.57,65.09,14.04,84.46,808.23,"Address 119, City, Country",Medium
120,1717,2025-04-20,Shipped,Overnight,Credit Card,934.17,74.73,19.74,105.45,923.2,"Address 120, City, Country",Medium
121,1337,2024-10-14,Completed,Standard,Bank Transfer,600.44,48.03,20.96,94.46,574.97,"Address 121, City, Country",Medium
122,752,2024-09-04,Completed,Economy,PayPal,113.84,9.11,19.29,16.01,126.23,"Address 122, City, Country",Medium
123,617,2025-06-29,Shipped,Overnight,Digital Wallet,528.84,42.31,18.67,62.18,527.63,"Address 123, City, Country",Medium
124,1852,2025-01-09,Cancelled,Standard,Bank Transfer,193.55,15.48,10.79,9.01,210.82,"Address 124, City, Country",Low
125,490,2025-05-10,Completed,Overnight,Bank Transfer,448.91,35.91,8.88,37.31,456.4,"Address 125, City, Country",Medium
126,480,2024-12-05,Processing,Standard,Digital Wallet,831.27,66.5,13.26,2.38,908.66,"Address 126, City, Country",Low
127,1882,2024-11-01,Shipped,Economy,Bank Transfer,600.26,48.02,14.33,50.4,612.21,"Address 127, City, Country",Low
128,1514,2025-03-27,Completed,Economy,Credit Card,243.42,19.47,10.62,27.49,246.03,"Address 128, City, Country",High
129,1447,2024-12-14,Completed,Economy,Credit Card,426.32,34.11,16.72,78.38,398.77,"Address 129, City, Country",Low
130,1436,2025-07-03,Completed,Economy,PayPal,244.84,19.59,19.31,39.61,244.12,"Address 130, City, Country",Low
131,30,2024-07-29,Completed,Economy,Bank Transfer,945.67,75.65,10.82,174.57,857.57,"Address 131, City, Country",Low
132,993,2024-08-18,Completed,Economy,Credit Card,357.53,28.6,15.18,48.18,353.13,"Address 132, City, Country",Low
133,507,2025-04-17,Completed,Economy,Digital Wallet,593.25,47.46,5.37,29.74,616.33,"Address 133, City, Country",Medium
134,951,2025-01-28,Completed,Express,PayPal,527.41,42.19,16.23,35.63,550.2,"Address 134, City, Country",Medium
135,175,2024-09-30,Completed,Economy,Credit Card,703.2,56.26,12.12,33.91,737.67,"Address 135, City, Country",Urgent
136,449,2025-02-10,Completed,Express,Bank Transfer,180.67,14.45,24.97,1.78,218.32,"Address 136, City, Country",Low
137,981,2025-01-21,Completed,Express,Digital Wallet,86.51,6.92,13.68,11.65,95.45,"Address 137, City, Country",Low
138,642,2024-07-18,Completed,Economy,Digital Wallet,844.0,67.52,17.17,65.56,863.12,"Address 138, City, Country",High
139,865,2025-01-16,Completed,Express,Credit Card,200.47,16.04,15.04,34.58,196.97,"Address 139, City, Country",Low
140,470,2024-11-15,Completed,Express,PayPal,518.34,41.47,9.17,16.88,552.1,"Address 140, City, Country",Medium
141,319,2025-06-21,Completed,Overnight,PayPal,710.56,56.85,19.82,36.82,750.41,"Address 141, City, Country",Low
142,1138,2025-04-19,Completed,Standard,Credit Card,211.6,16.93,11.32,37.61,202.24,"Address 142, City, Country",Medium
143,1207,2025-06-06,Completed,Overnight,PayPal,275.6,22.05,12.97,41.8,268.82,"Address 143, City, Country",Low
144,710,2025-05-11,Completed,Economy,Digital Wallet,426.65,34.13,8.07,73.6,395.26,"Address 144, City, Country",Medium
145,853,2025-04-08,Completed,Standard,Credit Card,258.36,20.67,10.16,29.22,259.97,"Address 145, City, Country",Low
146,1328,2024-10-02,Completed,Economy,Bank Transfer,991.1,79.29,10.31,12.36,1068.33,"Address 146, City, Country",High
147,1617,2024-11-05,Shipped,Standard,PayPal,233.11,18.65,18.77,12.7,257.83,"Address 147, City, Country",Medium
148,596,2024-10-15,Completed,Express,Bank Transfer,565.84,45.27,11.28,30.72,591.67,"Address 148, City, Country",High
149,16,2025-04-26,Completed,Overnight,PayPal,950.15,76.01,5.83,174.61,857.37,"Address 149, City, Country",Low
150,1568,2025-01-24,Completed,Express,Credit Card,883.95,70.72,24.47,53.48,925.65,"Address 150, City, Country",Low
151,912,2024-09-16,Completed,Overnight,PayPal,603.47,48.28,7.87,53.76,605.86,"Address 151, City, Country",High
152,1380,2024-11-03,Completed,Economy,Bank Transfer,562.6,45.01,6.05,83.58,530.07,"Address 152, City, Country",Medium
153,1591,2024-12-17,Completed,Economy,Credit Card,274.51,21.96,13.77,0.93,309.31,"Address 153, City, Country",Low
154,1470,2024-10-03,Completed,Standard,Credit Card,811.87,64.95,20.07,112.99,783.89,"Address 154, City, Country",Low
155,37,2024-09-23,Cancelled,Express,Bank Transfer,264.23,21.14,17.29,1.48,301.17,"Address 155, City, Country",Low
156,1787,2025-04-07,Completed,Economy,Digital Wallet,906.49,72.52,8.38,160.07,827.32,"Address 156, City, Country",Medium
157,909,2024-07-19,Completed,Express,Bank Transfer,282.69,22.62,7.0,45.65,266.66,"Address 157, City, Country",Low
158,1384,2025-05-09,Completed,Economy,Bank Transfer,397.25,31.78,6.53,52.07,383.49,"Address 158, City, Country",High
159,320,2025-02-21,Completed,Standard,Bank Transfer,686.02,54.88,5.53,63.92,682.52,"Address 159, City, Country",Medium
160,1939,2025-02-13,Completed,Standard,PayPal,264.44,21.16,15.52,6.77,294.35,"Address 160, City, Country",Medium
161,1299,2024-12-07,Shipped,Standard,Credit Card,908.17,72.65,5.17,39.36,946.64,"Address 161, City, Country",High
162,597,2024-10-12,Completed,Express,PayPal,617.12,49.37,16.38,4.4,678.46,"Address 162, City, Country",Low
163,150,2025-01-05,Completed,Overnight,Credit Card,658.33,52.67,14.37,112.97,612.39,"Address 163, City, Country",Urgent
164,1664,2024-11-20,Completed,Economy,Bank Transfer,77.54,6.2,20.41,1.71,102.45,"Address 164, City, Country",Low
165,1462,2024-10-19,Completed,Overnight,Digital Wallet,725.13,58.01,24.63,103.19,704.59,"Address 165, City, Country",Urgent
166,1526,2025-06-22,Processing,Overnight,PayPal,773.6,61.89,23.77,17.58,841.67,"Address 166, City, Country",Urgent
167,314,2024-07-23,Completed,Overnight,Credit Card,755.73,60.46,14.8,65.03,765.97,"Address 167, City, Country",Urgent
168,1605,2025-01-26,Completed,Overnight,Credit Card,349.45,27.96,19.68,23.08,374.0,"Address 168, City, Country",Medium
169,1984,2024-08-14,Returned,Economy,Digital Wallet,875.72,70.06,12.74,61.27,897.24,"Address 169, City, Country",High
170,530,2025-02-26,Completed,Overnight,Bank Transfer,953.92,76.31,19.29,62.34,987.18,"Address 170, City, Country",Low
171,1849,2025-04-07,Completed,Standard,PayPal,207.9,16.63,10.62,21.68,213.48,"Address 171, City, Country",Low
172,420,2024-10-22,Returned,Express,Digital Wallet,535.31,42.82,9.28,59.07,528.34,"Address 172, City, Country",Low
173,116,2024-09-29,Completed,Standard,Digital Wallet,832.09,66.57,20.7,148.37,770.98,"Address 173, City, Country",Medium
174,1439,2024-08-10,Completed,Overnight,Digital Wallet,655.05,52.4,15.44,56.87,666.03,"Address 174, City, Country",Medium
175,1830,2025-04-22,Completed,Overnight,Digital Wallet,995.34,79.63,8.56,108.78,974.75,"Address 175, City, Country",Low
176,662,2024-11-05,Shipped,Overnight,Bank Transfer,105.24,8.42,15.53,11.35,117.84,"Address 176, City, Country",Low
177,1863,2024-09-25,Returned,Express,Digital Wallet,843.12,67.45,17.78,68.44,859.91,"Address 177, City, Country",Urgent
178,327,2024-07-29,Shipped,Overnight,Bank Transfer,190.23,15.22,11.98,31.57,185.85,"Address 178, City, Country",Medium
179,1994,2025-05-12,Returned,Standard,Credit Card,419.58,33.57,24.96,81.94,396.17,"Address 179, City, Country",Medium
180,1053,2025-06-18,Completed,Overnight,Bank Transfer,66.48,5.32,24.88,7.23,89.45,"Address 180, City, Country",Low
181,943,2025-05-02,Completed,Economy,Digital Wallet,112.5,9.0,21.19,21.44,121.26,"Address 181, City, Country",Low
182,350,2024-08-29,Cancelled,Overnight,Bank Transfer,236.85,18.95,20.16,30.37,245.58,"Address 182, City, Country",Low
183,90,2024-09-25,Completed,Express,Digital Wallet,659.65,52.77,18.38,109.8,621.0,"Address 183, City, Country",Medium
184,1266,2025-05-21,Processing,Express,PayPal,197.74,15.82,6.48,29.2,190.83,"Address 184, City, Country",Low
185,157,2024-12-02,Completed,Economy,PayPal,394.04,31.52,20.05,29.57,416.04,"Address 185, City, Country",Medium
186,338,2025-06-24,Completed,Standard,PayPal,330.4,26.43,17.31,24.8,349.34,"Address 186, City, Country",Low
187,1160,2025-02-25,Completed,Standard,PayPal,431.62,34.53,14.61,84.11,396.66,"Address 187, City, Country",Low
188,1118,2025-04-30,Cancelled,Express,Credit Card,706.82,56.55,11.52,111.06,663.82,"Address 188, City, Country",Medium
189,339,2025-01-10,Returned,Standard,Credit Card,840.25,67.22,11.37,106.34,812.5,"Address 189, City, Country",Low
190,525,2024-11-06,Returned,Economy,Bank Transfer,934.66,74.77,22.01,12.65,1018.79,"Address 190, City, Country",Low
191,208,2024-07-06,Completed,Express,Digital Wallet,315.02,25.2,10.78,46.54,304.45,"Address 191, City, Country",Medium
192,555,2025-06-27,Shipped,Standard,PayPal,685.56,54.84,12.39,29.22,723.58,"Address 192, City, Country",Low
193,1544,2025-03-24,Completed,Standard,Credit Card,210.2,16.82,24.52,20.52,231.02,"Address 193, City, Country",Medium
194,1257,2024-08-09,Completed,Economy,Bank Transfer,492.81,39.42,11.51,75.45,468.29,"Address 194, City, Country",Low
195,1906,2025-01-02,Completed,Express,Credit Card,720.61,57.65,12.87,39.3,751.84,"Address 195, City, Country",High
196,844,2025-03-23,Completed,Express,PayPal,208.72,16.7,24.48,26.23,223.68,"Address 196, City, Country",Medium
197,603,2025-03-20,Completed,Overnight,Bank Transfer,922.28,73.78,12.63,141.14,867.55,"Address 197, City, Country",Low
198,694,2024-08-03,Completed,Economy,Bank Transfer,892.78,71.42,5.98,24.35,945.84,"Address 198, City, Country",Low
199,1598,2025-05-31,Completed,Overnight,PayPal,739.47,59.16,9.29,115.7,692.21,"Address 199, City, Country",Medium
200,484,2024-07-19,Shipped,Standard,PayPal,513.15,41.05,5.81,67.34,492.68,"Address 200, City, Country",High
201,1040,2025-04-20,Shipped,Overnight,PayPal,894.44,71.56,11.44,2.4,975.04,"Address 201, City, Country",Medium
202,1437,2025-04-04,Completed,Standard,Digital Wallet,730.94,58.48,5.65,54.6,740.46,"Address 202, City, Country",Low
203,1256,2024-09-11,Completed,Economy,Credit Card,818.16,65.45,23.41,69.95,837.06,"Address 203, City, Country",Medium
204,1696,2025-01-30,Completed,Overnight,Digital Wallet,641.69,51.34,8.06,108.42,592.66,"Address 204, City, Country",Low
205,1364,2025-02-11,Processing,Standard,PayPal,320.42,25.63,11.36,19.87,337.55,"Address 205, City, Country",High
206,1753,2025-01-27,Completed,Express,Credit Card,69.71,5.58,7.07,4.85,77.51,"Address 206, City, Country",Low
207,1288,2025-03-14,Processing,Economy,Digital Wallet,356.01,28.48,18.73,15.37,387.85,"Address 207, City, Country",Medium
208,1460,2025-04-19,Completed,Standard,Bank Transfer,122.76,9.82,18.28,22.39,128.47,"Address 208, City, Country",High
209,340,2024-08-05,Processing,Economy,Bank Transfer,738.47,59.08,13.91,8.92,802.54,"Address 209, City, Country",Medium
210,535,2025-05-08,Completed,Standard,Digital Wallet,496.81,39.75,18.92,57.67,497.8,"Address 210, City, Country",Low
211,1846,2024-07-15,Completed,Economy,Digital Wallet,494.42,39.55,11.23,43.32,501.88,"Address 211, City, Country",Low
212,1805,2025-02-09,Completed,Economy,Credit Card,594.22,47.54,8.33,106.29,543.8,"Address 212, City, Country",Low
213,1217,2025-06-30,Cancelled,Standard,Bank Transfer,717.7,57.42,20.37,54.12,741.37,"Address 213, City, Country",Medium
214,485,2024-11-28,Shipped,Economy,Credit Card,903.35,72.27,17.6,133.84,859.37,"Address 214, City, Country",Medium
215,365,2025-05-27,Shipped,Express,Digital Wallet,670.09,53.61,15.53,24.68,714.54,"Address 215, City, Country",Low
216,1122,2025-06-21,Completed,Standard,PayPal,223.98,17.92,17.12,9.48,249.54,"Address 216, City, Country",Medium
217,1614,2025-03-20,Cancelled,Overnight,Credit Card,222.25,17.78,11.61,23.92,227.71,"Address 217, City, Country",Medium
218,1552,2025-05-13,Completed,Overnight,Credit Card,437.06,34.97,12.8,70.78,414.05,"Address 218, City, Country",Low
219,795,2024-08-19,Completed,Express,PayPal,894.92,71.59,9.7,13.08,963.13,"Address 219, City, Country",Low
220,913,2024-11-14,Completed,Economy,Digital Wallet,777.56,62.2,12.58,74.44,777.9,"Address 220, City, Country",Medium
221,924,2025-02-01,Completed,Express,Credit Card,657.66,52.61,5.69,90.84,625.13,"Address 221, City, Country",High
222,11,2025-05-15,Completed,Express,Bank Transfer,991.84,79.35,21.33,140.44,952.08,"Address 222, City, Country",Medium
223,1,2024-08-29,Completed,Overnight,Bank Transfer,807.69,64.61,19.2,85.2,806.3,"Address 223, City, Country",Medium
224,1187,2024-12-15,Completed,Standard,Digital Wallet,483.53,38.68,9.11,20.12,511.2,"Address 224, City, Country",High
225,639,2025-03-06,Completed,Economy,Bank Transfer,616.51,49.32,13.32,36.99,642.16,"Address 225, City, Country",Medium
226,445,2025-01-28,Completed,Express,PayPal,947.26,75.78,19.11,142.88,899.27,"Address 226, City, Country",Low
227,860,2024-12-14,Shipped,Overnight,Bank Transfer,381.42,30.51,21.09,70.08,362.95,"Address 227, City, Country",High
